,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,2.0,10.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,2013,38.0,presentation-college,76092K
0,0.0,11.0,42.0,1.0,2.0,7.0,0.0,1.0,1.0,1.0,22.0,4.0,1.0,1.0,15.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,96.0,2013,95.0,templeogue-college,60562I
0,0.0,9.0,35.0,1.0,2.0,19.0,1.0,1.0,0.0,0.0,31.0,6.0,1.0,1.0,4.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,128.0,2013,125.0,our-ladys-school,60860Q
0,0.0,2.0,52.0,1.0,2.0,20.0,1.0,1.0,2.0,0.0,37.0,2.0,1.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,123.0,2013,122.0,terenure-college,60570H
0,0.0,6.0,52.0,2.0,2.0,8.0,1.0,2.0,1.0,1.0,23.0,4.0,2.0,1.0,31.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,127.0,2013,107.0,st-mac-daras-community-college,70260V
0,0.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,59.0,2013,27.0,killinarden-community-school,91337B
0,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,10.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,57.0,2013,19.0,st-aidans-community-school,91338D
0,0.0,13.0,42.0,1.0,3.0,4.0,1.0,2.0,3.0,0.0,9.0,1.0,1.0,1.0,45.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,166.0,2013,93.0,old-bawn-community-school,91336W
0,0.0,6.0,35.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,2013,51.0,tallaght-community-school,91335U
0,0.0,1.0,10.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,2013,26.0,jobstown-community-college,70141N
0,0.0,4.0,36.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,12.0,5.0,2.0,1.0,13.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,77.0,2013,51.0,firhouse-community-college,70140L
0,0.0,5.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2022,21.0,kingswood-community-college,76293U
0,0.0,6.0,24.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,11.0,2.0,2.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,97.0,2013,67.0,st-marks-community-school,91332O
0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,2013,15.0,stratford-college,61020A
